PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Embarked,Family_Size,Title,Deck,Side,Fare_Per_Person,AgeClass,Protocole,Gender
1,0,3,22.0,1,0,7.25,2,1,3,-1,0,3.625,66.0,0,1
2,1,1,38.0,1,0,71.2833,0,1,4,3,-1,35.64165,38.0,1,0
3,1,3,26.0,0,0,7.925,2,0,2,-1,0,7.925,78.0,1,0
4,1,1,35.0,1,0,53.1,2,1,4,3,-1,26.55,35.0,1,0
5,0,3,35.0,0,0,8.05,2,0,3,-1,0,8.05,105.0,0,1
6,0,3,25.14061971830986,0,0,8.4583,1,0,3,-1,0,8.4583,75.42185915492958,0,1
7,0,1,54.0,0,0,51.8625,2,0,3,5,1,51.8625,54.0,0,1
8,0,3,2.0,3,1,21.075,2,4,1,-1,0,4.215,6.0,1,1
9,1,3,27.0,0,2,11.1333,2,2,4,-1,0,3.7111,81.0,1,0
10,1,2,14.0,1,0,30.0708,0,1,4,-1,0,15.0354,28.0,1,0
11,1,3,4.0,1,1,16.7,2,2,2,8,1,5.566666666666666,12.0,1,0
12,1,1,58.0,0,0,26.55,2,0,2,3,-1,26.55,58.0,1,0
13,0,3,20.0,0,0,8.05,2,0,3,-1,0,8.05,60.0,0,1
14,0,3,39.0,1,5,31.275,2,6,3,-1,0,4.4678571428571425,117.0,0,1
15,0,3,14.0,0,0,7.8542,2,0,2,-1,0,7.8542,42.0,1,0
16,1,2,55.0,0,0,16.0,2,0,4,-1,0,16.0,110.0,1,0
17,0,3,2.0,4,1,29.125,1,5,1,-1,0,4.854166666666667,6.0,1,1
18,1,2,29.87763005780347,0,0,13.0,2,0,3,-1,0,13.0,59.75526011560694,0,1
19,0,3,31.0,1,0,18.0,2,1,4,-1,0,9.0,93.0,1,0
20,1,3,25.14061971830986,0,0,7.225,0,0,4,-1,0,7.225,75.42185915492958,1,0
21,0,2,35.0,0,0,26.0,2,0,3,-1,0,26.0,70.0,0,1
22,1,2,34.0,0,0,13.0,2,0,3,4,1,13.0,68.0,0,1
23,1,3,15.0,0,0,8.0292,1,0,2,-1,0,8.0292,45.0,1,0
24,1,1,28.0,0,0,35.5,2,0,3,1,1,35.5,28.0,0,1
25,0,3,8.0,3,1,21.075,2,4,2,-1,0,4.215,24.0,1,0
26,1,3,38.0,1,5,31.3875,2,6,4,-1,0,4.483928571428572,114.0,1,0
27,0,3,25.14061971830986,0,0,7.225,0,0,3,-1,0,7.225,75.42185915492958,0,1
28,0,1,19.0,3,2,263.0,2,5,3,3,-1,43.833333333333336,19.0,0,1
29,1,3,25.14061971830986,0,0,7.8792,1,0,2,-1,0,7.8792,75.42185915492958,1,0
30,0,3,25.14061971830986,0,0,7.8958,2,0,3,-1,0,7.8958,75.42185915492958,0,1
31,0,1,40.0,0,0,27.7208,0,0,3,-1,0,27.7208,40.0,0,1
32,1,1,38.233440860215055,1,0,146.5208,0,1,4,2,1,73.2604,38.233440860215055,1,0
33,1,3,25.14061971830986,0,0,7.75,1,0,2,-1,0,7.75,75.42185915492958,1,0
34,0,2,66.0,0,0,10.5,2,0,3,-1,0,10.5,132.0,0,1
35,0,1,28.0,1,0,82.1708,0,1,3,-1,0,41.0854,28.0,0,1
36,0,1,42.0,1,0,52.0,2,1,3,-1,0,26.0,42.0,0,1
37,1,3,25.14061971830986,0,0,7.2292,0,0,3,-1,0,7.2292,75.42185915492958,0,1
38,0,3,21.0,0,0,8.05,2,0,3,-1,0,8.05,63.0,0,1
39,0,3,18.0,2,0,18.0,2,2,2,-1,0,6.0,54.0,1,0
40,1,3,14.0,1,0,11.2417,0,1,2,-1,0,5.62085,42.0,1,0
41,0,3,40.0,1,0,9.475,2,1,4,-1,0,4.7375,120.0,1,0
42,0,2,27.0,1,0,21.0,2,1,4,-1,0,10.5,54.0,1,0
43,0,3,25.14061971830986,0,0,7.8958,0,0,3,-1,0,7.8958,75.42185915492958,0,1
44,1,2,3.0,1,2,41.5792,0,3,2,-1,0,10.3948,6.0,1,0
45,1,3,19.0,0,0,7.8792,1,0,2,-1,0,7.8792,57.0,1,0
46,0,3,25.14061971830986,0,0,8.05,2,0,3,-1,0,8.05,75.42185915492958,0,1
47,0,3,25.14061971830986,1,0,15.5,1,1,3,-1,0,7.75,75.42185915492958,0,1
48,1,3,25.14061971830986,0,0,7.75,1,0,2,-1,0,7.75,75.42185915492958,1,0
49,0,3,25.14061971830986,2,0,21.6792,0,2,3,-1,0,7.226400000000001,75.42185915492958,0,1
50,0,3,18.0,1,0,17.8,2,1,4,-1,0,8.9,54.0,1,0
51,0,3,7.0,4,1,39.6875,2,5,1,-1,0,6.614583333333333,21.0,1,1
52,0,3,21.0,0,0,7.8,2,0,3,-1,0,7.8,63.0,0,1
53,1,1,49.0,1,0,76.7292,0,1,4,4,-1,38.3646,49.0,1,0
54,1,2,29.0,1,0,26.0,2,1,4,-1,0,13.0,58.0,1,0
55,0,1,65.0,0,1,61.9792,0,1,3,2,1,30.9896,65.0,0,1
56,1,1,38.233440860215055,0,0,35.5,2,0,3,3,1,35.5,38.233440860215055,0,1
57,1,2,21.0,0,0,10.5,2,0,2,-1,0,10.5,42.0,1,0
58,0,3,28.5,0,0,7.2292,0,0,3,-1,0,7.2292,85.5,0,1
59,1,2,5.0,1,2,27.75,2,3,2,-1,0,6.9375,10.0,1,0
60,0,3,11.0,5,2,46.9,2,7,1,-1,0,5.8625,33.0,0,1
61,0,3,22.0,0,0,7.2292,0,0,3,-1,0,7.2292,66.0,0,1
62,1,1,38.0,0,0,80.0,2,0,2,2,1,80.0,38.0,1,0
63,0,1,45.0,1,0,83.475,2,1,3,3,-1,41.7375,45.0,0,1
64,0,3,4.0,3,2,27.9,2,5,1,-1,0,4.6499999999999995,12.0,1,1
65,0,1,38.233440860215055,0,0,27.7208,0,0,3,-1,0,27.7208,38.233440860215055,0,1
66,1,3,25.14061971830986,1,1,15.2458,0,2,1,-1,0,5.081933333333333,75.42185915492958,0,1
67,1,2,29.0,0,0,10.5,2,0,4,6,-1,10.5,58.0,1,0
68,0,3,19.0,0,0,8.1583,2,0,3,-1,0,8.1583,57.0,0,1
69,1,3,17.0,4,2,7.925,2,6,2,-1,0,1.1321428571428571,51.0,1,0
70,0,3,26.0,2,0,8.6625,2,2,3,-1,0,2.8874999999999997,78.0,0,1
71,0,2,32.0,0,0,10.5,2,0,3,-1,0,10.5,64.0,0,1
72,0,3,16.0,5,2,46.9,2,7,2,-1,0,5.8625,48.0,1,0
73,0,2,21.0,0,0,73.5,2,0,3,-1,0,73.5,42.0,0,1
74,0,3,26.0,1,0,14.4542,0,1,3,-1,0,7.2271,78.0,0,1
75,1,3,32.0,0,0,56.4958,2,0,3,-1,0,56.4958,96.0,0,1
76,0,3,25.0,0,0,7.65,2,0,3,6,-1,7.65,75.0,0,1
